Price,Area,Bedrooms,Bathrooms,Property_Type,Furnishing,Latitude,Longitude,Locality,Nearest_Hospital_km,Nearest_School_km,Nearest_Metro_km,Nearest_Bus_Stop_km,Nearest_Park_km,Nearest_Mall_km,Crime_Rate,Population_Density,Literacy_Rate,Household_Count,AQI,PM2.5,PM10,Price_Per_Sqft,Price_Per_Sqft_Outlier,Price_Tier,Is_Well_Connected,Amenity_Access_Score,Price_vs_Locality_Median_Pct,Price_Outlier,price_per_sqft,price_per_bhk,price_per_bathroom,area_per_bhk,bhk_bathroom_ratio,log_price,log_area,distance_to_city_center,distance_to_major_transit,distance_to_railway,distance_to_metro_station,locality_median_price,locality_mean_price,locality_listing_count,locality_price_std,locality_median_area,area_x_distance,nearest_upcoming_infra_km,infra_completion_status,months_since_milestone,nearest_infra_name,predicted_price,fair_price_score,fair_price_label,price_difference,price_difference_pct,affordability_index,investment_score
6600283,757,2,2,Apartment,Unfurnished,19.24440956,73.12325287,Kalyan,2.833721636671961,1.1897510767604718,8.864613500608526,0.2899101337611734,1.77713229914964,3.7247470840971952,106.3063063063063,12594.28590162527,86.01325845671394,2400000.0,134.26859619354903,61.64893959025062,97.78476816715448,8719.0,False,Budget,1,28.8,20.7,False,8719.0,3300141.5,3300141.5,378.5,1.0,15.702623236373908,6.630683385642372,45.40373456673,16.799355115064923,1.2881432718760266,28.598245083071316,5875000.0,6701343.94090909,220,3136604.888344277,850.0,34370.62706701461,24.27,Under Construction,31.8,Virar-Alibaug Multimodal Corridor,7639081.400687583,115.7,Underpriced,1038798.4006875828,15.7,10.9,59.8
6169841,652,2,2,Apartment,Unfurnished,19.2572937,73.14887238,Kalyan,1.8726994009419005,1.8930732981768044,10.639260426797849,0.5163742498631307,2.456843321962628,4.2362328243510685,106.3063063063063,12230.253341598613,87.7685235213937,2400000.0,131.42509425906383,52.3189871325604,105.0773832998854,9462.946319018403,False,Budget,0,18.6,31.0,False,9462.946319018405,3084920.5,3084920.5,326.0,1.0,15.635183787774107,6.481577129276431,48.275894646971906,19.83545576853996,2.062871772393107,31.604866197820662,5875000.0,6701343.94090909,220,3136604.888344277,850.0,31475.883309825684,27.24,Under Construction,31.8,Virar-Alibaug Multimodal Corridor,5884579.202278163,95.4,Fairly Priced,-285261.7977218367,-4.6,7.0,53.9
4599936,396,1,1,Apartment,Unfurnished,19.20902634,73.08127594,Dombivali,0.5828266294594706,2.180768750884842,7.105866037859138,0.7557796872664972,4.731536716033522,1.8050770563178649,106.3063063063063,10389.10634950028,88.04269576171548,2400000.0,121.12391027178568,50.795766699366936,101.76323214682964,11616.0,False,Budget,0,23.5,63.9,False,11616.0,4599936.0,4599936.0,396.0,1.0,15.341553165713362,5.983936280687191,39.5387362713886,11.378498601306879,6.875833313407779,22.707093522983833,5000000.0,5936391.36,100,3403302.626662042,722.0,15657.339563469886,18.36,Under Construction,31.8,Virar-Alibaug Multimodal Corridor,2852803.1356462985,62.0,Overpriced,-1747132.8643537015,-38.0,7.8,54.0
51980000,1130,3,3,Apartment,Unfurnished,19.09784126,72.85115814,Ville Parle,5.617318720454346,1.2595124518135428,3.775648654545325,1.2379884972024802,3.762368083169218,6.677770460179348,162.5668449197861,19638.36535063244,91.44327128145088,2100000.0,135.0120893861035,59.62621299327654,100.27514994825584,46000.0,False,Luxury,0,10.1,21.2,False,46000.0,17326666.666666668,17326666.666666668,376.6666666666667,1.0,17.766369606415786,7.030857476116121,17.65030942179444,2.473337247735458,4.084730881463128,1.3544997730497317,33200000.0,33851726.25,16,13274639.923265653,898.0,19944.849646627717,4.1,Under Construction,28.8,Mumbai Coastal Road (Bandra-Versova Sea Link),47381298.885054514,91.2,Above Market,-4598701.114945486,-8.8,0.6,70.2
3915000,435,1,1,Apartment,Unfurnished,19.42060089,72.80931854,Nala Sopara,3.678548568435137,0.822869124959746,7.676856697274681,0.9367070416790716,2.117807509681789,6.5975507737703145,143.81270903010034,1262.2569688527556,77.92470274232254,550000.0,111.28840281465789,47.364497684128565,85.53827252774366,9000.0,False,Budget,0,16.1,71.0,False,9000.0,3915000.0,3915000.0,435.0,1.0,15.180326142834849,6.077642243349034,53.53328101402189,21.89911568984359,31.390716243645972,32.09077193034724,3500000.0,4066006.756756757,74,1411913.6823446667,655.0,23286.97724109952,26.24,Completed,29.6,Mumbai Metro Line 2A (Dahisar-DN Nagar),2912355.145605905,74.4,Overpriced,-1002644.854394095,-25.6,6.9,31.2
4900320,720,1,1,Apartment,Unfurnished,18.96756172,73.02495575,Ulwe,4.604575015461567,0.6117488577871885,15.050569317543395,0.2013009750207827,1.3598379112049537,6.44905570553591,215.3846153846154,1906.4107068399164,83.08475443799622,520000.0,130.12697833969634,55.891712412197045,85.29701206212424,6806.0,False,Budget,1,39.2,-21.7,False,6806.0,4900320.0,4900320.0,720.0,1.0,15.404811271139238,6.580639137284949,20.162041373468647,10.029476273440036,10.029476273440036,18.005097400715496,7500000.0,8626412.528089888,89,4120158.6657616287,1000.0,14516.669788897425,6.36,Under Construction,30.8,Navi Mumbai Metro Line 1 (Belapur-Pendhar),5365616.630970601,109.5,Below Market,465296.630970601,9.5,19.5,71.7
14000000,652,2,2,Apartment,Unfurnished,19.13776207,72.86013031,Jogeshwari,1.1215715650824714,0.6211672995919337,5.046411452590619,0.8019531662026315,2.747424741640637,3.437431277725867,162.5668449197861,22648.898134964275,91.2513265400756,2100000.0,141.2633833939424,64.66620704752032,104.88996266864156,21472.39263803681,False,Premium,0,25.2,7.4,False,21472.39263803681,7000000.0,7000000.0,326.0,1.0,16.454567959008102,6.481577129276431,22.164102269702326,2.448445841496288,7.52325315907788,2.448445841496288,13000000.0,13774358.974358974,78,4683223.329351351,673.0,14450.994679845917,1.74,Completed,29.6,Mumbai Metro Line 7 (Dahisar E-Andheri E),13853540.338829603,99.0,Fairly Priced,-146459.66117039695,-1.0,4.0,53.5
16400255,565,2,2,Apartment,Unfurnished,19.0322113,72.89522552,Chembur,2.2934912930915305,1.287752269126644,10.684520679866736,1.472565504564166,3.54028382934624,10.048060027442514,162.5668449197861,19365.05124625945,88.01700563230996,2100000.0,151.4600919150165,69.1615189955479,96.16455434358318,29027.0,False,Premium,0,9.4,28.7,False,29027.0,8200127.5,8200127.5,282.5,1.0,16.612807502428694,6.338594078203183,12.042684666492146,5.236631575989696,4.7891422786846425,6.1740820752017695,18400000.0,28266655.789473683,171,30541086.434238162,884.0,6804.116836568062,4.46,Under Construction,23.6,Mumbai Metro Line 3 (Colaba-Bandra-SEEPZ),15426893.710412519,94.1,Above Market,-973361.289587481,-5.9,1.2,71.3
74998440,1770,3,3,Apartment,Unfurnished,19.00825882,73.01303101,Nerul,3.0407111726707945,1.6056194158096242,13.399081341198738,0.5695553012764552,2.854067578236444,6.476638193274279,215.3846153846154,2115.872581637033,81.61756906231183,520000.0,103.3183563365654,55.39322787981235,84.30977455478656,42372.0,False,Luxury,0,15.4,117.6,False,42372.0,24999480.0,24999480.0,590.0,1.0,18.132977884617873,7.479299637782834,20.160346349660013,7.770873016133074,11.182009126569481,14.00059540488649,30000000.0,36636032.4137931,29,21887950.864225615,1550.0,35683.813038898224,2.45,Completed,32.4,Mumbai Trans Harbour Link (Atal Setu),33286156.567547612,44.4,Overpriced,-41712283.43245239,-55.6,0.9,42.6
65900000,2600,4,5,Apartment,Unfurnished,19.18447304,72.94075775,Mulund,1.0543920036585728,1.252163495898204,2.114809091745649,1.1300539989775316,0.8525184100936485,6.50151114260996,162.5668449197861,19451.66383434132,91.04408077577762,2100000.0,129.5736671789468,71.18549957823161,95.46036349089675,25346.153846153848,False,Luxury,0,24.6,28.4,False,25346.153846153848,16475000.0,13180000.0,650.0,0.8,18.00364901464724,7.8636512654486515,29.369425573551872,3.6735358769257225,3.6735358769257225,11.139824610803872,17750000.0,19950149.18032787,122,10494687.416236056,853.0,76360.50649123488,4.85,Under Construction,32.8,Goregaon-Mulund Link Road (GMLR),65226314.39996588,99.0,Fairly Priced,-673685.6000341177,-1.0,3.4,70.5
