feature,importance
Bedrooms,2977710.658142256
Amenity_Access_Score,2810868.506916641
Area,2460474.534808635
area_per_bhk,2245518.8236302575
Furnishing,2205659.948679508
distance_to_city_center,1832768.1323599913
Bathrooms,1400111.3070988979
Nearest_Park_km,1125334.5195444522
locality_listing_count,933084.7204564086
distance_to_railway,887296.1781317405
bhk_bathroom_ratio,693770.8871573656
Property_Type,568742.2855568961
locality_median_area,528718.7317347057
Locality,400993.7034440406
log_area,386167.97955039196
Nearest_Mall_km,362826.8695424816
Crime_Rate,308676.6922616464
Is_Well_Connected,268800.2249261073
nearest_upcoming_infra_km,233832.15287916228
Nearest_School_km,186199.49559756904
Literacy_Rate,184380.03010631882
Population_Density,182561.37492574804
PM10,177545.7917750718
Nearest_Bus_Stop_km,156290.20590894655
distance_to_major_transit,152410.45120445074
Longitude,150863.52983413351
Latitude,138757.36371367463
Household_Count,138507.7043435648
infra_completion_status,121652.21286443691
distance_to_metro_station,116193.18340800071
PM2.5,99503.32630394536
Nearest_Hospital_km,93084.34362424404
Nearest_Metro_km,70709.39312918823
area_x_distance,62627.91666220899
months_since_milestone,33562.04400507828
AQI,16133.82611028736
